X1,Author,Year,Substudy,Setting,Measured,Measure_Unit,Brand,Device,device_name,device_year,Wear_Location,Wear_Info,Type,Good?,Criterion_Measure,Criterion_Type,Wear_Info_crit,Wear_Location_crit,population_n,population_m,population_f,population,age_code,health_code,age,age_SD,weight,weight_SD,height,height_SD,BMI,BMI_SD,location,activity_type,test_type,activity_type_code,body_Motion,pace_code,pace_value,incline_code,incline_pct,activity_details,bout_rest,epoch,actual_n_analyzed,trend,CC_type,CC,CC_bins,CC_all,CC_CI_pct,CC_CI_upper,CC_CI_lower,CC_pvalue,CC_significance,ES_type,ES,ES_CI_upper,ES_CI_lower,BA_LoA_upper,BA_LoA_lower,BA_LoA_width,devicemean,devicemean_SD,critmean,critmean_SD,device_v_crit,meandiff,meandiff_SD,meandiff_CI_upper,meandiff_CI_lower,MPE,MPE_bin,MPE_SD,MPE_significance_test,MPE_significance_num,MAD,MAD_SD,MAD_CI_upper,MAD_CI_lower,MAPE,MAPE_bin,MAPE_SD,MAPE_CI_upper,MAPE_CI_lower,RMSE,equivalencetesting,accuracypct,accuracypct_CI_upper,accuracypct_CI_lower,TEEstandardized,TEEstandardized_CI_upper,TEEstandardized_CI_lower,deviceSE,deviceCofV,critCofV,n_5pctofcrit,n_10pctofcrit,n_15pctofcrit,n_20pctofcrit,n_25pctofcrit,systematicbias_slope,systematicbias_intercept,systematicbias_probability,systematicbias_significance,Other
1559,Navalta,2018,-,Controlled,SC,steps/5 min,Samsung,Gear 2,Samsung Gear 2,2014,Wrist,wrist,full-text,y,Manual count,manual count,NA,NA,20,12,8,"healthy adults, young",A,H,22.2,5.8,71.2,14.4,174.6,9.9,23.2,3.2,"NV, USA",Walk: Overground,NA,Ao,Nr,Sp,self-selected,N,NA,"hike, self-selected pace, 5 min (trailhead at 5581ft elevation, 5ft rise/decline per repeat) x2",NA,full bout,20,NA,ICC,0.714,ST,0.714,NA,NA,NA,< .001,sig,NA,NA,NA,NA,117.71,-77.1,194.81,556,90,573,48,under,20.31,49.69,NA,NA,-0.029668412,± 3%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1560,Navalta,2018,-,Controlled,SC,steps/5 min,Samsung,Gear 2,Samsung Gear 2,2014,Wrist,wrist,full-text,y,Manual count,manual count,NA,NA,20,12,8,"healthy adults, young",A,H,22.2,5.8,71.2,14.4,174.6,9.9,23.2,3.2,"NV, USA",Run: Overground,NA,Ao,Nr,Sp,"self-selected, run",N,NA,"run, self-selected pace, 5 min (trailhead at 5581ft elevation, 5ft rise/decline per repeat) x2",NA,full bout,20,NA,ICC,0.076,VW,7.6e-02,NA,NA,NA,0.33,ns,NA,NA,NA,NA,317.82,-232.78,550.6,739,118,773,48,under,42.53,140.46,NA,NA,-0.043984476,less -3%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1561,Navalta,2018,-,Controlled,SC,steps/5 min,Samsung,Gear 2,Samsung Gear 2,2014,Wrist,wrist,full-text,y,Manual count,manual count,NA,NA,20,12,8,"healthy adults, young",A,H,22.2,5.8,71.2,14.4,174.6,9.9,23.2,3.2,"NV, USA",Walk: Overground,NA,Ao,Nr,Sp,self-selected,N,NA,"hike, self-selected pace, 5 min (trailhead at 5581ft elevation, 5ft rise/decline per repeat) x2",NA,full bout,20,NA,ICC,0.714,ST,0.714,NA,NA,NA,< .001,sig,NA,NA,NA,NA,117.71,-77.1,194.81,526,66,556.5,43,under,20.31,49.69,NA,NA,-0.054806828,less -3%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1562,Navalta,2018,-,Controlled,SC,steps/5 min,Samsung,Gear 2,Samsung Gear 2,2014,Wrist,wrist,full-text,y,Manual count,manual count,NA,NA,20,12,8,"healthy adults, young",A,H,22.2,5.8,71.2,14.4,174.6,9.9,23.2,3.2,"NV, USA",Run: Overground,NA,Ao,Nr,Sp,"self-selected, run",N,NA,"run, self-selected pace, 5 min (trailhead at 5581ft elevation, 5ft rise/decline per repeat) x2",NA,full bout,20,NA,ICC,0.076,VW,7.6e-02,NA,NA,NA,0.33,ns,NA,NA,NA,NA,317.82,-232.78,550.6,720,151,779.5,47.5,under,42.53,140.46,NA,NA,-0.076330981,less -3%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1563,Wallen,2016,-,Controlled,EE,kcal/58 min,Samsung,Gear S,Samsung Gear S,2014,Wrist,"wrist, random",full-text,y,Indirect calorimetry (Metamax),indirect calorimetry,NA,NA,22,11,11,healthy adults,A,H,24.9,5.6,72.7,11.8,173.1,9.9,NA,NA,"QL, AUS",Mixed Activities,Activity,Mi,Mi,NA,NA,N,NA,"rest (lying, sitting, standing) and active (walking, cycling), 58 min",NA,15 seconds,19,underestimate,ICC,0.86,VS,"Pearson
ICC
0.86",95,"P'n: 0.95
ICC: 0.96","P'n: 0.67
ICC: 0.15",NA,NA,NA,NA,NA,NA,21.3,-73.5,94.8,261.4,47.5,287.5,45.1,under,-26.1,24.2,NA,NA,-0.0913,less -3%,8.47e-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1564,Wallen,2016,-,Controlled,HR,bpm,Samsung,Gear S,Samsung Gear S,2014,Wrist,"wrist, random",full-text,y,Electrocardiography (GE Healthcare CASE system),ECG,NA,NA,22,11,11,healthy adults,A,H,24.9,5.6,72.7,11.8,173.1,9.9,NA,NA,"QL, AUS",Mixed Activities,Activity,Mi,Mi,NA,NA,N,NA,"rest (lying, sitting, standing) and active (walking, cycling), 58 min",NA,15 seconds,22,underestimate,ICC,0.8,VS,"ICC: 0.80
Spearman: 0.67",95,"ICC: 0.93
Sp: 0.85","ICC: 0.40
Sp: 0.35",NA,NA,NA,NA,NA,NA,13.1,-27.3,40.4,93.4,13.9,100.5,14.6,under,-7.1,10.3,NA,NA,-0.0648,less -3%,9.92e-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1565,Wallen,2016,-,Controlled,SC,steps/58 min,Samsung,Gear S,Samsung Gear S,2014,Wrist,"wrist, random",full-text,y,Manual count,manual count,NA,NA,22,11,11,healthy adults,A,H,24.9,5.6,72.7,11.8,173.1,9.9,NA,NA,"QL, AUS",Mixed Activities,NA,Mi,Mi,NA,NA,N,NA,"rest (lying, sitting, standing) and active (walking, cycling), 58 min",NA,15 seconds,21,underestimate,ICC,0.88,VS,0.88,95,0.95,0.72,NA,NA,NA,NA,NA,NA,191,-299,490,987.2,267.55,1041.3,218.31,under,-54,122.15,NA,NA,-0.0585,less -3%,0.1362,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1566,Modave,2017,1,Controlled,SC,steps/1000 steps,Samsung,Gear S2,Samsung Gear S2,2015,Wrist,"wrist, L then R",full-text,y,Manual count,manual count,NA,NA,21,10,11,healthy adults,A,H,26.2,5.1,NA,NA,NA,NA,23,2.7,"FL, USA",Walk: Treadmill,NA,At,Nr,Sp,self-selected,N,NA,"walk, self-selected pace between 2-3 mph, 1000 steps; 18-39 years",NA,unknown,20,good validity,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,988,16,1000,0,under,NA,NA,NA,NA,-0.012,± 3%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1567,Modave,2017,2,Controlled,SC,steps/1000 steps,Samsung,Gear S2,Samsung Gear S2,2015,Wrist,"wrist, L then R",full-text,y,Manual count,manual count,NA,NA,20,9,11,healthy adults,A,H,53.7,7,NA,NA,NA,NA,25.7,4.6,"FL, USA",Walk: Treadmill,NA,At,Nr,Sp,self-selected,N,NA,"walk, self-selected pace between 2-3 mph, 1000 steps; 40-64 years",NA,unknown,21,underestimate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,959.4,84.2,1000,0,under,NA,NA,NA,NA,-0.0406,less -3%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1568,Modave,2017,3,Controlled,SC,steps/1000 steps,Samsung,Gear S2,Samsung Gear S2,2015,Wrist,"wrist, L then R",full-text,y,Manual count,manual count,NA,NA,19,5,14,healthy adults,OA,H,70.9,4.3,NA,NA,NA,NA,27,5.4,"FL, USA",Walk: Treadmill,NA,At,Nr,Sp,self-selected,N,NA,"walk, self-selected pace between 2-3 mph, 1000 steps; 65-84 years",NA,unknown,19,good validity,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,969.1,47.9,1000,0,under,NA,NA,NA,NA,-0.0309,less -3%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1569,Hwang,2019,-,Controlled,HR,bpm,Samsung,Gear S3,Samsung Gear S3,2016,Wrist,"wrist, random",full-text,y,Electrocardiography (Prucka Electrophysiology),ECG,NA,NA,51,27,24,"SVT, EPS",A,NH,44.4,16.6,64.5,9.1,163.1,16.4,23.7,3,Korea,Electrophysiological Study,Rest,Se,NA,NA,NA,N,NA,"electrophysiological study, induced SVT",NA,beat-by-beat,29,good validity,ICC,0.9903,VS,0.9903,95,0.9951,0.9807,NA,NA,NA,NA,NA,NA,11.4,-9.2,20.6,NA,NA,NA,NA,NA,1.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,89.7% within ± 5 bpm,89.7% within ± 10 bpm,NA,NA,NA,NA,NA,NA,NA,NA
1570,An,2016,-,Free-Living,SC,steps/day,Withings,Pulse O2,Withings Pulse O2,2013,Waist/Hip,waist,full-text,y,Accelerometry (New Lifestyles NL-1000),accelerometry,NA,NA,35,17,18,healthy adults,A,H,31,11.8,71.7,13.4,172.9,7.3,23.8,3.1,"NE, USA",Normal Daily Activities,NA,Fr,NA,NA,NA,N,NA,"1 day, during waking hours, excluding water-based activities",N/A,unknown,35,considerable variability in accuracy across monitors and also by speeds and conditions.,Pearson,0.8,VS,0.8,NA,NA,NA,< .01,sig,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.097,NA,NA,NA,NA,NA,"within ± 5% equivalent zone
no sig diff, p = 1.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1571,Ehrler,2016,-,Controlled,SC,steps/200m,Withings,Pulse O2,Withings Pulse O2,2013,Waist/Hip,belt,full-text,y,Manual count,manual count,NA,NA,21,9,12,healthy adults,A,H,34.5,15.7,NA,NA,NA,NA,NA,NA,Switzerland,Walk: Overground,NA,Ao,Nr,Sp,self-selected,N,NA,"walk, self-selected pace, 200m",NA,step-by-step,21,decrease of accuracy was positively correlated with reduced speed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,under,NA,NA,NA,NA,-0.0087,± 3%,8e-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1572,Ehrler,2016,-,Controlled,SC,steps/200m,Withings,Pulse O2,Withings Pulse O2,2013,Torso,collar,full-text,y,Manual count,manual count,NA,NA,21,9,12,healthy adults,A,H,34.5,15.7,NA,NA,NA,NA,NA,NA,Switzerland,Walk: Overground,NA,Ao,Nr,Sp,self-selected,N,NA,"walk, self-selected pace, 200m",NA,step-by-step,21,decrease of accuracy was positively correlated with reduced speed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,under,NA,NA,NA,NA,-0.0152,± 3%,2.95e-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1573,Ehrler,2016,-,Controlled,SC,steps/200m,Withings,Pulse O2,Withings Pulse O2,2013,Wrist,wrist,full-text,y,Manual count,manual count,NA,NA,21,9,12,healthy adults,A,H,34.5,15.7,NA,NA,NA,NA,NA,NA,Switzerland,Walk: Overground,NA,Ao,Nr,Sp,self-selected,N,NA,"walk, self-selected pace, 200m",NA,step-by-step,21,decrease of accuracy was positively correlated with reduced speed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,under,NA,NA,NA,NA,-0.1437,less -3%,0.2378,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1574,Ehrler,2016,-,Controlled,SC,steps/100m,Withings,Pulse O2,Withings Pulse O2,2013,Waist/Hip,belt,full-text,y,Manual count,manual count,NA,NA,21,9,12,healthy adults,A,H,34.5,15.7,NA,NA,NA,NA,NA,NA,Switzerland,Walk: Overground,NA,Ao,Nr,Sl,0.8,N,NA,"walk, 0.8 m/s, 100m",NA,step-by-step,21,"decrease of accuracy was positively correlated with reduced speed, potentially changed walk by enforcing slow speeds",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,under,NA,NA,NA,NA,-0.1827,less -3%,0.2907,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1575,Ehrler,2016,-,Controlled,SC,steps/100m,Withings,Pulse O2,Withings Pulse O2,2013,Torso,collar,full-text,y,Manual count,manual count,NA,NA,21,9,12,healthy adults,A,H,34.5,15.7,NA,NA,NA,NA,NA,NA,Switzerland,Walk: Overground,NA,Ao,Nr,Sl,0.8,N,NA,"walk, 0.8 m/s, 100m",NA,step-by-step,21,"decrease of accuracy was positively correlated with reduced speed, potentially changed walk by enforcing slow speeds",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,under,NA,NA,NA,NA,-0.2907,less -3%,0.2755,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1576,Ehrler,2016,-,Controlled,SC,steps/100m,Withings,Pulse O2,Withings Pulse O2,2013,Wrist,wrist,full-text,y,Manual count,manual count,NA,NA,21,9,12,healthy adults,A,H,34.5,15.7,NA,NA,NA,NA,NA,NA,Switzerland,Walk: Overground,NA,Ao,Nr,Sl,0.8,N,NA,"walk, 0.8 m/s, 100m",NA,step-by-step,21,"decrease of accuracy was positively correlated with reduced speed, potentially changed walk by enforcing slow speeds",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,under,NA,NA,NA,NA,-0.302,less -3%,0.3143,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1577,Ehrler,2016,-,Controlled,SC,steps/100m,Withings,Pulse O2,Withings Pulse O2,2013,Wrist,wrist,full-text,y,Manual count,manual count,NA,NA,21,9,12,healthy adults,A,H,34.5,15.7,NA,NA,NA,NA,NA,NA,Switzerland,Walk: Overground,NA,Ao,Nr,Vs,0.6,N,NA,"walk, 0.6 m/s, 100m",NA,step-by-step,21,"decrease of accuracy was positively correlated with reduced speed, potentially changed walk by enforcing slow speeds",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,under,NA,NA,NA,NA,-0.6407,less -3%,0.4176,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1578,Ehrler,2016,-,Controlled,SC,steps/100m,Withings,Pulse O2,Withings Pulse O2,2013,Waist/Hip,belt,full-text,y,Manual count,manual count,NA,NA,21,9,12,healthy adults,A,H,34.5,15.7,NA,NA,NA,NA,NA,NA,Switzerland,Walk: Overground,NA,Ao,Nr,Vs,0.6,N,NA,"walk, 0.6 m/s, 100m",NA,step-by-step,21,"decrease of accuracy was positively correlated with reduced speed, potentially changed walk by enforcing slow speeds",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,under,NA,NA,NA,NA,-0.8092,less -3%,0.27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1579,Ehrler,2016,-,Controlled,SC,steps/100m,Withings,Pulse O2,Withings Pulse O2,2013,Torso,collar,full-text,y,Manual count,manual count,NA,NA,21,9,12,healthy adults,A,H,34.5,15.7,NA,NA,NA,NA,NA,NA,Switzerland,Walk: Overground,NA,Ao,Nr,Vs,0.6,N,NA,"walk, 0.6 m/s, 100m",NA,step-by-step,21,"decrease of accuracy was positively correlated with reduced speed, potentially changed walk by enforcing slow speeds",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,under,NA,NA,NA,NA,-0.8846,less -3%,0.2573,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1580,Ehrler,2016,-,Controlled,SC,steps/100m,Withings,Pulse O2,Withings Pulse O2,2013,Wrist,wrist,full-text,y,Manual count,manual count,NA,NA,21,9,12,healthy adults,A,H,34.5,15.7,NA,NA,NA,NA,NA,NA,Switzerland,Walk: Overground,NA,Ao,Nr,Vs,0.4,N,NA,"walk, 0.4 m/s, 100m",NA,step-by-step,21,"decrease of accuracy was positively correlated with reduced speed, potentially changed walk by enforcing slow speeds",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,under,NA,NA,NA,NA,-0.8851,less -3%,0.2535,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1581,Ehrler,2016,-,Controlled,SC,steps/100m,Withings,Pulse O2,Withings Pulse O2,2013,Waist/Hip,belt,full-text,y,Manual count,manual count,NA,NA,21,9,12,healthy adults,A,H,34.5,15.7,NA,NA,NA,NA,NA,NA,Switzerland,Walk: Overground,NA,Ao,Nr,Vs,0.4,N,NA,"walk, 0.4 m/s, 100m",NA,step-by-step,21,"decrease of accuracy was positively correlated with reduced speed, potentially changed walk by enforcing slow speeds",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,under,NA,NA,NA,NA,-0.9934,less -3%,3.79e-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1582,Ehrler,2016,-,Controlled,SC,steps/100m,Withings,Pulse O2,Withings Pulse O2,2013,Torso,collar,full-text,y,Manual count,manual count,NA,NA,21,9,12,healthy adults,A,H,34.5,15.7,NA,NA,NA,NA,NA,NA,Switzerland,Walk: Overground,NA,Ao,Nr,Vs,0.4,N,NA,"walk, 0.4 m/s, 100m",NA,step-by-step,21,"decrease of accuracy was positively correlated with reduced speed, potentially changed walk by enforcing slow speeds",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,under,NA,NA,NA,NA,-0.9984,less -3%,5e-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1583,Ferguson,2015,-,Free-Living,EE,kcal/day,Withings,Pulse O2,Withings Pulse O2,2013,Waist/Hip,"waist, right",full-text,y,Accelerometry (Bodymedia SenseWear [upper arm]),accelerometry,"arm, upper triceps, L",Upper Arm,21,10,11,healthy adults,A,H,32.8,10.2,NA,NA,NA,NA,26.4,4.2,"SA, USA",Normal Daily Activities,NA,Fr,NA,NA,NA,N,NA,2 days,N/A,unknown,20,underestimate,ICC,0.54,MOD,"P: 0.79 
I: 0.54",NA,NA,NA,NA,NA,NA,NA,NA,NA,170,-1236,1406,NA,NA,3005,569,under,-533,NA,NA,NA,-0.177371048,less -10%,NA,NA,NA,415,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1584,Ferguson,2015,-,Free-Living,SC,steps/day,Withings,Pulse O2,Withings Pulse O2,2013,Waist/Hip,"waist, right",full-text,y,Accelerometry (Actigraph GT3X+ [waist]),accelerometry,"waist, right",Waist/Hip,21,10,11,healthy adults,A,H,32.8,10.2,NA,NA,NA,NA,26.4,4.2,"SA, USA",Normal Daily Activities,NA,Fr,NA,NA,NA,N,NA,2 days,N/A,unknown,20,underestimate,ICC,0.99,VS,"P: 0.99
I: 0.99",NA,NA,NA,NA,NA,NA,NA,NA,NA,663,-1927,2590,NA,NA,10516,5070,under,-632,NA,NA,NA,-0.060098897,± 10%,NA,NA,NA,660,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1585,Gruwez,2017,-,Free-Living,EE,kcal/36 hr,Withings,Pulse O2,Withings Pulse O2,2013,Wrist,"wrist, ND",full-text,y,Accelerometry (Bodymedia SenseWear Pro [upper arm]),accelerometry,"arm, upper, ND",Upper Arm,20,7,13,healthy adults,A,H,30,5,NA,NA,NA,NA,NA,NA,Belgium,Normal Daily Activities,NA,Fr,NA,NA,NA,N,NA,sleep x 2 nights + and free-living activity x 1 day = total 36 hours,N/A,unknown,18,underestimate,Pearson,0.52,MOD,0.52,NA,NA,NA,1e-03,sig,NA,NA,NA,NA,NA,NA,NA,2148,456,2420,600,under,NA,NA,NA,NA,-0.112396694,less -10%,NA,0.06,ns,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1586,Gruwez,2017,-,Free-Living,EE,kcal/36 hr,Withings,Pulse O2,Withings Pulse O2,2013,Wrist,"wrist, ND",full-text,y,Accelerometry (Bodymedia SenseWear Pro [upper arm]),accelerometry,"arm, upper, ND",Upper Arm,20,7,13,healthy adults,A,H,30,5,NA,NA,NA,NA,NA,NA,Belgium,Normal Daily Activities,NA,Fr,NA,NA,NA,N,NA,sleep x 2 nights + and free-living activity x 1 day = total 36 hours,N/A,unknown,18,underestimate,Pearson,0.54,MOD,0.54,NA,NA,NA,< .0001,sig,NA,NA,NA,NA,NA,NA,NA,371,205,754,470,under,NA,NA,NA,NA,-0.50795756,less -10%,NA,< .001,sig,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1587,Gruwez,2017,-,Free-Living,SC,steps/36 hours,Withings,Pulse O2,Withings Pulse O2,2013,Wrist,"wrist, ND",full-text,y,Accelerometry (Bodymedia SenseWear Pro [upper arm]),accelerometry,"arm, upper, ND",Upper Arm,20,7,13,healthy adults,A,H,30,5,NA,NA,NA,NA,NA,NA,Belgium,Normal Daily Activities,NA,Fr,NA,NA,NA,N,NA,sleep x 2 nights + and free-living activity x 1 day = total 36 hours,N/A,unknown,18,underestimate,Pearson,0.95,VS,0.95,NA,NA,NA,< .0001,sig,NA,NA,NA,NA,NA,NA,NA,9801,4983,10757,5368,under,-934,NA,NA,NA,-0.088872362,± 10%,NA,< .001,sig,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1588,Kooiman,2015,1,Free-Living,SC,steps/7.5 hours,Withings,Pulse O2,Withings Pulse O2,2013,Waist/Hip,front pants pocket,full-text,y,Accelerometry (ActivPAL [thigh]),accelerometry,"thigh, underneath clothing",Thigh,56,18,38,healthy adults,A,H,"M: 37.1 ± 10.6 
F: 30 ± 9.5",NA,NA,NA,NA,NA,23.6,2.3,Netherlands,Normal Daily Activities,NA,Fr,NA,NA,NA,N,NA,"7.5 hours, working day 9AM-4:30PM",NA,unknown,51,underestimate,ICC,0.96,VS,0.96,95,0.98,0.91,< .01,sig,NA,NA,NA,NA,864,-1510,2374,NA,NA,4070,2430,under,-323,NA,NA,NA,-0.079361179,± 10%,NA,NA,NA,NA,NA,NA,NA,0.079,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Z-value: -5.24
p = .000, sig diff"
1589,Murakami,2016,-,Controlled,EE,kcal/day,Withings,Pulse O2,Withings Pulse O2,2013,Wrist,"wrist, random",letter,y,Direct (whole-room) calorimetry,direct calorimetry,NA,NA,19,9,10,healthy adults,A,H,range: 21-50,NA,NA,NA,NA,NA,NA,NA,Japan,Simulated Free-Living,Activity,Mi,Mi,NA,NA,N,NA,"24 hours, ADL and meals; 9AM-9AM following overnight fast",NA,unknown,19,"suggest that most wearable devices do not produce a valid measure of total energy
expenditure",Spearman,0.88,VS,0.88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1814.8,230.3,2093,304,under,NA,NA,NA,NA,-0.132919255,less -3%,NA,NA,sig,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
